frequency	magnitude	phase
10	inf	4.51948e-19
20	inf	2.34315e-19
30	inf	1.54315e-19
40	inf	1.12987e-19
50	inf	-1.00096e-19
60	inf	7.62094e-20
70	inf	-3.50715e-20
80	inf	5.81997e-20
90	inf	-1.00475e-20
100	inf	-5.40291e-20
110	inf	-8.70152e-20
120	inf	4.59721e-20
130	inf	6.91951e-21
140	inf	-1.45973e-20
150	inf	-3.45976e-20
160	inf	2.64458e-20
170	inf	5.40291e-21
180	inf	-1.61139e-21
190	inf	-1.6967e-20
200	inf	-2.66354e-20
210	inf	1.12798e-20
220	inf	-3.95739e-20
230	inf	-5.59248e-21
240	inf	1.59717e-20
250	inf	-2.03794e-20
260	inf	5.35551e-21
270	inf	-3.50715e-20
280	inf	-1.1185e-20
290	inf	9.24181e-21
300	inf	-1.50713e-20
310	inf	2.60667e-21
320	inf	1.62561e-20
330	inf	-6.54036e-21
340	inf	6.49297e-21
350	inf	-1.00475e-20
360	inf	-1.94315e-21
370	inf	1.45499e-20
380	inf	-1.42656e-20
390	inf	9.00484e-22
400	inf	-1.97159e-20
410	inf	-7.39345e-21
420	inf	-1.42182e-21
430	inf	1.11376e-20
440	inf	-2.51662e-20
450	inf	-1.3057e-20
460	inf	-5.474e-21
470	inf	1.18485e-22
480	inf	6.68254e-21
490	inf	-2.07822e-20
500	inf	-1.44314e-20
510	inf	-3.69673e-21
520	inf	-9.71575e-22
530	inf	6.2323e-21
540	inf	-2.24173e-20
550	inf	-1.45736e-20
560	inf	-4.33654e-21
570	inf	-9.88163e-21
580	inf	-9.47878e-22
590	inf	7.65412e-21
600	inf	-1.73699e-20
610	inf	-1.40049e-20
620	inf	-7.53563e-21
630	inf	-3.22279e-21
640	inf	1.49291e-21
650	inf	-9.90533e-21
660	inf	-1.38864e-20
670	inf	-1.23224e-21
680	inf	-5.16594e-21
690	inf	9.47878e-22
700	inf	-1.01897e-20
710	inf	-6.54036e-21
720	inf	-1.06399e-20
730	inf	-7.60672e-21
740	inf	7.58303e-22
750	inf	-1.28674e-20
760	inf	-3.98109e-21
770	inf	-5.23703e-21
780	inf	4.50242e-22
790	inf	-5.87684e-21
800	inf	0
810	inf	1.13271e-20
820	inf	6.2086e-21
830	inf	-3.64933e-21
840	inf	4.52612e-21
850	inf	-2.01424e-21
860	inf	1.43485e-20
870	inf	2.737e-21
880	inf	-8.5546e-21
890	inf	4.01663e-21
900	inf	-9.08778e-21
910	inf	1.16471e-20
920	inf	1.5403e-21
930	inf	-9.34845e-21
940	inf	5.62803e-21
950	inf	-8.88636e-21
960	inf	7.07354e-21
970	inf	-4.82233e-21
980	inf	-1.12442e-20
990	inf	4.54982e-21
2000	inf	2.70738e-21
3000	inf	5.36736e-21
4000	inf	-1.28852e-21
5000	inf	5.31701e-21
6000	inf	-8.02735e-21
7000	inf	-1.85725e-21
8000	inf	-1.20262e-21
9000	inf	-4.76013e-21
10000	inf	7.71632e-22
11000	inf	2.84364e-22
12000	inf	-1.48995e-21
13000	inf	-1.02193e-21
14000	inf	-1.77875e-21
15000	inf	7.62006e-22
16000	inf	-1.40108e-21
17000	inf	3.17539e-21
18000	inf	-8.17545e-22
19000	inf	-1.64324e-21
20000	inf	-2.77699e-22
21000	inf	-8.58275e-22
22000	inf	-1.16485e-21
23000	inf	-2.90288e-22
24000	inf	3.65822e-22
25000	inf	-3.636e-22
26000	inf	-8.75307e-22
27000	inf	-7.30903e-22
28000	inf	-7.36457e-22
29000	inf	-3.79522e-22
30000	inf	-1.32259e-21
31000	inf	-8.20507e-22
32000	inf	9.36771e-23
33000	inf	1.45477e-21
34000	inf	-8.24951e-22
35000	inf	-5.19112e-22
36000	inf	-2.74366e-22
37000	inf	-3.24723e-22
38000	inf	-4.50242e-22
39000	inf	-1.92168e-22
40000	inf	3.83965e-22
41000	inf	-2.18086e-22
42000	inf	1.47403e-21
43000	inf	1.99943e-23
44000	inf	-5.19112e-22
45000	inf	-6.62034e-22
46000	inf	-9.24552e-22
47000	inf	-2.38451e-22
48000	inf	1.43663e-22
49000	inf	-4.34321e-22
50000	inf	9.25663e-24
51000	inf	-7.37198e-22
52000	inf	-8.6642e-23
53000	inf	-5.28368e-22
54000	inf	-7.10909e-23
55000	inf	2.08274e-22
56000	inf	2.5178e-23
57000	inf	-1.51809e-22
58000	inf	-4.23583e-22
59000	inf	-4.90046e-22
60000	inf	2.54928e-22
61000	inf	-5.08374e-22
62000	inf	-9.01596e-23
63000	inf	-3.82854e-22
64000	inf	2.12162e-22
65000	inf	-5.02635e-22
66000	inf	-7.90516e-23
67000	inf	-2.49003e-22
68000	inf	5.74651e-22
69000	inf	-3.10097e-22
70000	inf	-4.28026e-22
71000	inf	-1.45514e-22
72000	inf	-9.775e-23
73000	inf	1.64768e-22
74000	inf	-4.78938e-22
75000	inf	-5.26517e-22
76000	inf	-2.83808e-22
77000	inf	1.90687e-23
78000	inf	-1.955e-22
79000	inf	-1.72173e-22
80000	inf	-5.77614e-23
81000	inf	-3.61379e-22
82000	inf	-3.98035e-22
83000	inf	6.29451e-23
84000	inf	-2.20863e-22
85000	inf	2.40672e-23
86000	inf	-5.25776e-23
87000	inf	-2.14198e-22
88000	inf	2.65295e-22
89000	inf	4.44688e-22
90000	inf	-1.16819e-22
91000	inf	-3.26944e-22
92000	inf	-3.12319e-22
93000	inf	1.0423e-22
94000	inf	-3.02877e-22
95000	inf	-3.15281e-22
96000	inf	-1.1219e-22
97000	inf	2.15679e-22
98000	inf	1.41441e-22
99000	inf	2.61963e-22
100000	inf	1.3237e-22
